State,Constituency,O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Candidate Won
Bihar,Vaishali,2,Veena Devi (W/o Dinesh Prasad Singh),Lok Jan Shakti Party,566707,1508,568215,52.87,loss
Bihar,Vaishali,3,Shankar Mahto,Bahujan Samaj Party,14269,82,14351,1.34,loss
Bihar,Vaishali,4,Amit Vikram,Jantantrik Vikas Party,4530,1,4531,0.42,loss
Bihar,Vaishali,5,Dhanvanti Devi,Lok Chetna Dal,2380,4,2384,0.22,loss
Bihar,Vaishali,6,Naresh Ram,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),3318,9,3327,0.31,loss
Bihar,Vaishali,7,Balak Nath Sahani,Rashtriya mahan Gantantra Party,2047,8,2055,0.19,loss
Bihar,Vaishali,8,Rameshwar Sah,Rashtriya Pragati Party,2714,4,2718,0.25,loss
Bihar,Vaishali,9,Reshami Devi,Bajjikanchal Vikas Party,3764,3,3767,0.35,loss
Bihar,Vaishali,10,Vidya Bhushan,Sapaks Party,3975,3,3978,0.37,loss
Bihar,Vaishali,11,Satish Kumar Mishra,Rashtriya Jansambhavna Party,6512,6,6518,0.61,loss
Bihar,Vaishali,12,Sushma Kumari,Garib Janshakti Party,5747,4,5751,0.54,loss
Bihar,Vaishali,13,Abhay Kumar Sharma,Independent,8849,4,8853,0.82,loss
Bihar,Vaishali,14,Arvind Kumar Singh,Independent,9212,6,9218,0.86,loss
Bihar,Vaishali,15,Abha Rai,Independent,27496,1,27497,2.56,loss
Bihar,Vaishali,16,Ismohamad alias Md. Munna,Independent,21855,2,21857,2.03,loss
Bihar,Vaishali,17,Pankaj Kumar,Independent,11979,2,11981,1.11,loss
Bihar,Vaishali,18,Rinkoo Devi,Independent,16734,4,16738,1.56,loss
Bihar,Vaishali,19,Laljee Kumar Rakesh,Independent,5535,0,5535,0.52,loss
Bihar,Vaishali,20,Beena Devi (W/o Ajit Kumar Ray),Independent,3249,5,3254,0.3,loss
Bihar,Vaishali,21,Sudha Rani,Independent,2684,7,2691,0.25,loss
Bihar,Vaishali,22,Suresh Kumar Gupta,Independent,6662,1,6663,0.62,loss
Bihar,Vaishali,23,NOTA,None of the Above,9176,41,9217,0.86,loss
Bihar,Valmiki Nagar,1,DEEPAK YADAV,Bahujan Samaj Party,62816,147,62963,6.1,loss
Bihar,Valmiki Nagar,2,BAIDYANATH PRASAD MAHTO,Janata Dal (United),601227,1433,602660,58.39,loss
Bihar,Valmiki Nagar,3,SHASHWAT KEDAR,Indian National Congress,247319,725,248044,24.03,loss
Bihar,Valmiki Nagar,4,DURGESH SINGH CHAUHAN,Bihar Lok Nirman Dal,7914,3,7917,0.77,loss
Bihar,Valmiki Nagar,5,BHOLA RAY,Suheldev Bharatiya Samaj Party,7866,5,7871,0.76,loss
Bihar,Valmiki Nagar,6,MANOJ KUMAR,Janhit Kisan Party,4170,5,4175,0.4,loss
Bihar,Valmiki Nagar,7,RAKESH KEWAT,Rashtriya Hind Sena,12805,6,12811,1.24,loss
Bihar,Valmiki Nagar,8,RAJESH KUSHWAHA,Rashtriya Sarvjan Vikas Party,4578,5,4583,0.44,loss
Bihar,Valmiki Nagar,9,SHIV KUMAR CHAUDHARY,Bharatiya Bahujan Congress,4823,2,4825,0.47,loss
Bihar,Valmiki Nagar,10,SUSHMA DEVI,Shivsena,11896,37,11933,1.16,loss
Bihar,Valmiki Nagar,11,MUNNA SINGH,Independent,6133,3,6136,0.59,loss
Bihar,Valmiki Nagar,12,RAMESH PRASAD,Independent,8961,3,8964,0.87,loss
Bihar,Valmiki Nagar,13,SURESH SAH,Independent,14869,1,14870,1.44,loss
Bihar,Valmiki Nagar,14,NOTA,None of the Above,34311,27,34338,3.33,loss
Chandigarh,CHANDIGARH,1,KIRRON KHER,Bharatiya Janata Party,230967,221,231188,50.64,loss
Chandigarh,CHANDIGARH,2,PAWAN KUMAR BANSAL,Indian National Congress,184117,101,184218,40.35,loss
Chandigarh,CHANDIGARH,3,PARVEEN KUMAR,Bahujan Samaj Party,7391,5,7396,1.62,loss
Chandigarh,CHANDIGARH,4,AVINASH SINGH SHARMA,Chandigarh Ki Aawaz Party,3182,4,3186,0.7,loss
Chandigarh,CHANDIGARH,5,GURMAIL SINGH,All India Forward Bloc,164,0,164,0.04,loss
Chandigarh,CHANDIGARH,6,JAGDISH KUMAR NIDAN,Hindustan Shakti Sena,365,0,365,0.08,loss
Chandigarh,CHANDIGARH,7,JYOTI,Akhil Bhartiya Apna Dal,209,0,209,0.05,loss
Chandigarh,CHANDIGARH,8,NAWAB ALI,Rashtriya Lokswaraj Party,158,0,158,0.03,loss
Chandigarh,CHANDIGARH,9,BHUPINDER KAUR,Sarvjan Sewa Party,143,0,143,0.03,loss
Chandigarh,CHANDIGARH,10,MUKESH PACHARA,Ambedkar National Congress,245,0,245,0.05,loss
Chandigarh,CHANDIGARH,11,YOGRAJ SAHOTA,Rashtriya Jankranti Party,194,0,194,0.04,loss
Chandigarh,CHANDIGARH,12,RAMNEET,Bhartiya Kisan Party,285,0,285,0.06,loss
Chandigarh,CHANDIGARH,13,LASHKAR SINGH,Communist Party of India (Marxist-Leninist) Red Star,377,0,377,0.08,loss
Chandigarh,CHANDIGARH,14,SHAMBHU,Samaj Adhikar Kalyan Party,658,0,658,0.14,loss
Chandigarh,CHANDIGARH,15,SHARMILA JOHARI,Bharat Prabhat Party,531,0,531,0.12,loss
Chandigarh,CHANDIGARH,16,SATYBIR SINGH,Bhartiya Manavadhikaar Federal Party,1578,0,1578,0.35,loss
Chandigarh,CHANDIGARH,17,SANDEEP BIDLA,Bahujan Mukti Party,919,1,920,0.2,loss
Chandigarh,CHANDIGARH,18,SATISH KUMAR,Janral Samaj Party,486,0,486,0.11,loss
Chandigarh,CHANDIGARH,19,SARABJEET SINGH SOHAL,Bhartiya Rashtrawadi Party,461,0,461,0.1,loss
Chandigarh,CHANDIGARH,20,SANJAY BALAAN,Bhartiya Jan Samman Party,452,0,452,0.1,loss
Chandigarh,CHANDIGARH,21,SUBHASH CHANDER GOYAL,Republican Party of India (A),212,0,212,0.05,loss
Chandigarh,CHANDIGARH,22,SUBHASH TAMOLI,Bahujan Samaj Party (Ambedkar),312,0,312,0.07,loss
Chandigarh,CHANDIGARH,23,HARMOHAN DHAWAN,Aam Aadmi Party,13767,14,13781,3.02,loss
Chandigarh,CHANDIGARH,24,AKHLESH KUMAR,Independent,206,0,206,0.05,loss
Chandigarh,CHANDIGARH,25,UDAY RAJ,Independent,156,0,156,0.03,loss
Chandigarh,CHANDIGARH,26,KARAN VASUDEVA,Independent,136,0,136,0.03,loss
Chandigarh,CHANDIGARH,27,TEJINDER SINGH WALIA,Independent,319,1,320,0.07,loss
Chandigarh,CHANDIGARH,28,DEVI SIROHI,Independent,428,0,428,0.09,loss
Chandigarh,CHANDIGARH,29,NIDHI KANSAL,Independent,569,0,569,0.12,loss
Chandigarh,CHANDIGARH,30,PREM LATA,Independent,212,0,212,0.05,loss
Chandigarh,CHANDIGARH,31,BOOTA SINGH,Independent,392,0,392,0.09,loss
Chandigarh,CHANDIGARH,32,MANJEET SINGH BOHAT,Independent,1062,0,1062,0.23,loss
Chandigarh,CHANDIGARH,33,YOGESH DHINGRA,Independent,731,0,731,0.16,loss
Chandigarh,CHANDIGARH,34,RAJ KAMAL SINGH,Independent,289,0,289,0.06,loss
Chandigarh,CHANDIGARH,35,RAM KUMAR,Independent,101,0,101,0.02,loss
Chandigarh,CHANDIGARH,36,SUNITA,Independent,112,0,112,0.02,loss
Chandigarh,CHANDIGARH,37,NOTA,None of the Above,4321,14,4335,0.95,loss
Chhattisgarh,BASTAR,1,AAYTU RAM MANDAVI,Bahujan Samaj Party,30422,27,30449,3.34,loss
Chhattisgarh,BASTAR,2,DEEPAK BAIJ,Indian National Congress,401539,988,402527,44.1,loss
Chhattisgarh,BASTAR,3,BAIDU RAM KASHYAP,Bharatiya Janata Party,361727,1818,363545,39.83,loss
Chhattisgarh,BASTAR,4,RAMU RAM MOURYA,Communist Party of India,38388,7,38395,4.21,loss
Chhattisgarh,BASTAR,5,PANEESH PRASAD NAG,Ambedkarite Party of India,12404,17,12421,1.36,loss
Chhattisgarh,BASTAR,6,MANGALARAM KARMA,Akhil Bharat Samagra Kranti Party,9910,2,9912,1.09,loss
Chhattisgarh,BASTAR,7,SURESH KAWASI,Shivsena,13929,1,13930,1.53,loss
Chhattisgarh,BASTAR,8,NOTA,None of the Above,41656,11,41667,4.56,loss
Chhattisgarh,BILASPUR,1,ATAL SHRIVASTAV,Indian National Congress,492185,611,492796,40.75,loss
Chhattisgarh,BILASPUR,2,ARUN SAO,Bharatiya Janata Party,633268,1291,634559,52.47,loss
Chhattisgarh,BILASPUR,3,UTTAM DAS GUROO GOSAI,Bahujan Samaj Party,21088,92,21180,1.75,loss
Chhattisgarh,BILASPUR,4,NAND KISHORE RAJ,Gondvana Gantantra Party,5242,17,5259,0.43,loss
Chhattisgarh,BILASPUR,5,POORAN LAL CHHABARIYA,Swabhiman Party,964,2,966,0.08,loss
Chhattisgarh,BILASPUR,6,YAMAN BANJARE,Bhartiya Kisan Party,892,4,896,0.07,loss
Chhattisgarh,BILASPUR,7,RAMKUMAR GHATLAHARE,Bhartiya Lokmat Rashtrwadi Party,823,3,826,0.07,loss
Chhattisgarh,BILASPUR,8,EG. RAMFAL MANDREY,Ambedkarite Party of India,2478,4,2482,0.21,loss
Chhattisgarh,BILASPUR,9,SHAMBHU PRASAD SHARMA,Bharat Bhoomi Party,1959,1,1960,0.16,loss
Chhattisgarh,BILASPUR,10,SIDDHRAM LAHARE,Rashtriya Jansabha Party,1309,2,1311,0.11,loss
Chhattisgarh,BILASPUR,11,SANTOSH KAUSHAL,Shivsena,1863,2,1865,0.15,loss
Chhattisgarh,BILASPUR,12,"SANDEEP TIWARI ""RAJ""",Bhartiya Sarvjan Hitey Samaj Party,1851,1,1852,0.15,loss
Chhattisgarh,BILASPUR,13,SANDEEP SINGH PORTE,Adhikar Vikas Party,2198,3,2201,0.18,loss
Chhattisgarh,BILASPUR,14,ARUNKUMAR SAHU,Independent,3279,2,3281,0.27,loss
Chhattisgarh,BILASPUR,15,AVISHEK EKKA,Independent,6782,0,6782,0.56,loss
Chhattisgarh,BILASPUR,16,ENGINEER INDRASEN MOGRE,Independent,11982,0,11982,0.99,loss
Chhattisgarh,BILASPUR,17,URMILA TIWARI,Independent,4979,0,4979,0.41,loss
Chhattisgarh,BILASPUR,18,DUJ RAM SAHU,Independent,3504,1,3505,0.29,loss
Chhattisgarh,BILASPUR,19,BALDAU PRASAD SAHU,Independent,800,1,801,0.07,loss
Chhattisgarh,BILASPUR,20,RAJU KHATIK URPH LALU,Independent,543,0,543,0.04,loss
Chhattisgarh,BILASPUR,21,VIDYA SAHU,Independent,744,4,748,0.06,loss
Chhattisgarh,BILASPUR,22,SALIK RAM JOGI,Independent,645,0,645,0.05,loss
Chhattisgarh,BILASPUR,23,HARISH CHANDRA SAHU,Independent,1257,1,1258,0.1,loss
Chhattisgarh,BILASPUR,24,HARISH KUMAR MANDWA,Independent,946,0,946,0.08,loss
Chhattisgarh,BILASPUR,25,HORILAL ANANT,Independent,1446,0,1446,0.12,loss
Chhattisgarh,BILASPUR,26,NOTA,None of the Above,4356,9,4365,0.36,loss
Chhattisgarh,DURG,1,GEETANJALI SINGH,Bahujan Samaj Party,20071,53,20124,1.45,loss
Chhattisgarh,DURG,2,PRATIMA CHANDRAKAR,Indian National Congress,456793,603,457396,32.86,loss
Chhattisgarh,DURG,3,VIJAY BAGHEL,Bharatiya Janata Party,847445,1929,849374,61.02,loss
Chhattisgarh,DURG,4,ANURAG SINGH,Bhartiya Kisan Party,5432,3,5435,0.39,loss
Chhattisgarh,DURG,5,AATMA RAM SAHU,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2218,3,2221,0.16,loss
Chhattisgarh,DURG,6,KAMLESH KUMAR NAGARCHI,Shivsena,1095,2,1097,0.08,loss
Chhattisgarh,DURG,7,TRESSA DAVID,India Praja Bandhu Party,797,0,797,0.06,loss
Chhattisgarh,DURG,8,PITAMBAR LAL NISHAD,Bharat Prabhat Party,775,0,775,0.06,loss
Chhattisgarh,DURG,9,FARID MOHAMMAD QURAISHI,Gondvana Gantantra Party,918,1,919,0.07,loss
Chhattisgarh,DURG,10,MALIK RAM THAKUR,Ambedkarite Party of India,1977,5,1982,0.14,loss
Chhattisgarh,DURG,11,RAJ KUMAR GUPTA ADVOCATE,Chhattisgarh Swabhiman Manch,1519,3,1522,0.11,loss
Chhattisgarh,DURG,12,RAJESH KUMAR DUBEY,Bhartiya Shakti Chetna Party,2110,4,2114,0.15,loss
Chhattisgarh,DURG,13,SEVAKRAM BANJARE,Rashtriya Jansabha Party,4067,5,4072,0.29,loss
Chhattisgarh,DURG,14,HIDAR BHATI,Sarvadharam Party (Madhya Pradesh),12107,0,12107,0.87,loss
Chhattisgarh,DURG,15,ANOOP KUMAR PANDEY,Independent,7958,1,7959,0.57,loss
Chhattisgarh,DURG,16,ARUN KUMAR JOSHI,Independent,6752,1,6753,0.49,loss
Chhattisgarh,DURG,17,POKHRAJ MESHRAM,Independent,3177,0,3177,0.23,loss
Chhattisgarh,DURG,18,PRAVEEN TIWARI,Independent,3466,0,3466,0.25,loss
Chhattisgarh,DURG,19,MANOJ GAYKWAD CHHATTISGARHIYA,Independent,4011,1,4012,0.29,loss
Chhattisgarh,DURG,20,GURU DADA LOKESH,Independent,1420,0,1420,0.1,loss
Chhattisgarh,DURG,21,SUNIL KUMAR MARKANDEY,Independent,1003,0,1003,0.07,loss
Chhattisgarh,DURG,22,NOTA,None of the Above,4250,21,4271,0.31,loss
Chhattisgarh,JANJGIR-CHAMPA,1,GUHARAM AJGALLEY,Bharatiya Janata Party,570486,2304,572790,45.91,loss
Chhattisgarh,JANJGIR-CHAMPA,2,DAURAM RATNAKAR,Bahujan Samaj Party,130576,811,131387,10.53,loss
Chhattisgarh,JANJGIR-CHAMPA,3,RAVI PARASRAM BHARDWAJ,Indian National Congress,488051,1484,489535,39.24,loss
Chhattisgarh,JANJGIR-CHAMPA,4,ASHISH RATRE,Peoples Party of India (Democratic),6237,3,6240,0.5,loss
Chhattisgarh,JANJGIR-CHAMPA,5,NARESH KUMAR DAHARIYA,Rashtriya Gondvana Party,1847,3,1850,0.15,loss
Chhattisgarh,JANJGIR-CHAMPA,6,NARESH BAI JANGDE,Shivsena,1823,3,1826,0.15,loss
Chhattisgarh,JANJGIR-CHAMPA,7,NITESH KUMAR RATRE,Sunder Samaj Party,2565,3,2568,0.21,loss
Chhattisgarh,JANJGIR-CHAMPA,8,BHOJRAM BANJARE,Rashtriya Jansabha Party,1756,3,1759,0.14,loss
Chhattisgarh,JANJGIR-CHAMPA,9,LAKHAN LAL CHAUHAN ALIAS LAKHALA DANAV,Bahujan Mukti Party,1789,2,1791,0.14,loss
Chhattisgarh,JANJGIR-CHAMPA,10,VRINDA CHAUHAN,Chhattisgarh Vikas Ganga Rashtriya Party,2184,3,2187,0.18,loss
Chhattisgarh,JANJGIR-CHAMPA,11,SHANTI KUMAR RATRE,Gondvana Gantantra Party,2777,7,2784,0.22,loss
Chhattisgarh,JANJGIR-CHAMPA,12,SITA CHAUHAN,Bhartiya Shakti Chetna Party,3865,11,3876,0.31,loss
Chhattisgarh,JANJGIR-CHAMPA,13,SEEMA AJAY,Ambedkarite Party of India,7830,1,7831,0.63,loss
Chhattisgarh,JANJGIR-CHAMPA,14,ASHARAM RATNAKAR,Independent,6465,2,6467,0.52,loss
Chhattisgarh,JANJGIR-CHAMPA,15,DR. UDAY RATRE,Independent,4777,1,4778,0.38,loss
Chhattisgarh,JANJGIR-CHAMPA,16,NOTA,None of the Above,9952,29,9981,0.8,loss
Chhattisgarh,KANKER,1,BIRESH THAKUR,Indian National Congress,537999,1320,539319,46.53,loss
Chhattisgarh,KANKER,2,MOHAN MANDAVI,Bharatiya Janata Party,543376,2857,546233,47.12,loss
Chhattisgarh,KANKER,3,SUBE SINGH DHURVA,Bahujan Samaj Party,10088,36,10124,0.87,loss
Chhattisgarh,KANKER,4,UMASHANKAR BHANDARI,Shivsena,3417,20,3437,0.3,loss
Chhattisgarh,KANKER,5,GHANSHYAM JURRI,Gondvana Gantantra Party,4391,80,4471,0.39,loss
Chhattisgarh,KANKER,6,DURGAPRASAD THAKUR,Ambedkarite Party of India,6095,8,6103,0.53,loss
Chhattisgarh,KANKER,7,MATHAN SINGH MARKAM,Bhartiya Shakti Chetna Party,5574,12,5586,0.48,loss
Chhattisgarh,KANKER,8,NAREND NAG,Independent,5750,8,5758,0.5,loss
Chhattisgarh,KANKER,9,HARISINGH SIDAR,Independent,11447,2,11449,0.99,loss
Chhattisgarh,KANKER,10,NOTA,None of the Above,26692,21,26713,2.3,loss
Chhattisgarh,KORBA,1,JYOTI NAND DUBEY,Bharatiya Janata Party,495960,1101,497061,43.72,loss
Chhattisgarh,KORBA,2,JYOTSNA CHARANDAS MAHANT,Indian National Congress,522771,639,523410,46.03,loss
Chhattisgarh,KORBA,3,PARMIT SINGH,Bahujan Samaj Party,15841,39,15880,1.4,loss
Chhattisgarh,KORBA,4,CHANDRA BHUSHAN KANWAR ADHIVAKTA L L M,Ambedkarite Party of India,3955,10,3965,0.35,loss
Chhattisgarh,KORBA,5,TULESHWAR HIRASINGH MARKAM,Gondvana Gantantra Party,37371,46,37417,3.29,loss
Chhattisgarh,KORBA,6,RAJ KUMAR YADAV,Bhartiya Panchyat Party,1984,2,1986,0.17,loss
Chhattisgarh,KORBA,7,RAJESH PANDEY,Bharat Bhoomi Party,3084,1,3085,0.27,loss
Chhattisgarh,KORBA,8,LILAMBAR SINGH,Bhartiya Tribal Party,2910,0,2910,0.26,loss
Chhattisgarh,KORBA,9,SUMAN LAL KHANDE,Rashtriya Jansabha Party,2982,5,2987,0.26,loss
Chhattisgarh,KORBA,10,DEEPAK SAHU,Independent,3700,3,3703,0.33,loss
Chhattisgarh,KORBA,11,PRAMOD KUMAR SHARMA,Independent,4797,1,4798,0.42,loss
Chhattisgarh,KORBA,12,RAMDAYAL URAON,Independent,6795,6,6801,0.6,loss
Chhattisgarh,KORBA,13,LAKHAN LAL DEWANGAN,Independent,13694,1,13695,1.2,loss
Chhattisgarh,KORBA,14,NOTA,None of the Above,19292,13,19305,1.7,loss
Chhattisgarh,MAHASAMUND,1,CHUNNI LAL SAHU,Bharatiya Janata Party,614924,1656,616580,50.44,loss
Chhattisgarh,MAHASAMUND,2,DHANSING KOSARIYA,Bahujan Samaj Party,11214,31,11245,0.92,loss
Chhattisgarh,MAHASAMUND,3,DHANENDRA SAHU,Indian National Congress,525229,840,526069,43.04,loss
Chhattisgarh,MAHASAMUND,4,ASHOK SONI,Ambedkarite Party of India,7729,4,7733,0.63,loss
Chhattisgarh,MAHASAMUND,5,COMRADE BHOJLAL NETAM,Communist Party of India (Marxist-Leninist) Red Star,2259,4,2263,0.19,loss
Chhattisgarh,MAHASAMUND,6,ROHIT KUMAR KOSRE,Rashtriya Jansabha Party,1316,1,1317,0.11,loss
Chhattisgarh,MAHASAMUND,7,DR. VIRENDRA CHOUDHARY,Bhartiya Shakti Chetna Party,2537,1,2538,0.21,loss
Chhattisgarh,MAHASAMUND,8,KHILAWAN SINGH DHRUW,Independent,2244,6,2250,0.18,loss
Chhattisgarh,MAHASAMUND,9,CHAMPALAL PATEL GURUJI,Independent,1938,3,1941,0.16,loss
Chhattisgarh,MAHASAMUND,10,JAGMOHAN BHAGWAT KOSARIYA,Independent,2243,1,2244,0.18,loss
Chhattisgarh,MAHASAMUND,11,TARUN KUMAR DADSENA,Independent,4180,1,4181,0.34,loss
Chhattisgarh,MAHASAMUND,12,DEVENDAR SINGH THAKUR (RAJPUT),Independent,15488,3,15491,1.27,loss
Chhattisgarh,MAHASAMUND,13,SANTOSH BANJARE,Independent,7241,1,7242,0.59,loss
Chhattisgarh,MAHASAMUND,14,NOTA,None of the Above,21218,23,21241,1.74,loss
Chhattisgarh,RAIGARH,1,INNOCENT KUJUR,Bahujan Samaj Party,26491,105,26596,1.97,loss
Chhattisgarh,RAIGARH,2,GOMATI SAI,Bharatiya Janata Party,656939,1396,658335,48.76,loss
Chhattisgarh,RAIGARH,3,LALJEET SINGH RATHIA,Indian National Congress,590690,1618,592308,43.87,loss
Chhattisgarh,RAIGARH,4,AMRIT TIRKEY,Pragatishil Samajwadi Party (Lohia),8847,40,8887,0.66,loss
Chhattisgarh,RAIGARH,5,KRIPASHANKAR BHAGAT,Bhartiya Tribal Party,2568,23,2591,0.19,loss
Chhattisgarh,RAIGARH,6,JAI SINGH SIDAR,Gondvana Gantantra Party,2533,12,2545,0.19,loss
Chhattisgarh,RAIGARH,7,JYOTI BHAGAT,Kisan Mazdoor Sangharsh Party,1843,11,1854,0.14,loss
Chhattisgarh,RAIGARH,8,RAVISHANKAR SIDAR,Ambedkarite Party of India,3999,7,4006,0.3,loss
Chhattisgarh,RAIGARH,9,VIJAY LAKARA,Shivsena,3339,8,3347,0.25,loss
Chhattisgarh,RAIGARH,10,VIR KUMAR TIGGA,Bahujan Mukti Party,2829,6,2835,0.21,loss
Chhattisgarh,RAIGARH,11,TARIKA TARANGINI URAON,Independent,5697,16,5713,0.42,loss
Chhattisgarh,RAIGARH,12,TEJRAM SIDAR,Independent,5655,1,5656,0.42,loss
Chhattisgarh,RAIGARH,13,NAVAL KISHOR RATHIA,Independent,9556,4,9560,0.71,loss
Chhattisgarh,RAIGARH,14,PRAKASH KUMAR URANW,Independent,10157,5,10162,0.75,loss
Chhattisgarh,RAIGARH,15,NOTA,None of the Above,15720,9,15729,1.17,loss
Chhattisgarh,RAIPUR,1,Khilesh Kumar Sahu Alias Khileshwar,Bahujan Samaj Party,10520,77,10597,0.76,loss
Chhattisgarh,RAIPUR,2,Pramod Dubey,Indian National Congress,488515,1149,489664,35.07,loss
Chhattisgarh,RAIPUR,3,Sunil Kumar Soni,Bharatiya Janata Party,836211,1691,837902,60.01,loss
Chhattisgarh,RAIPUR,4,Ajay Chakole,Gondvana Gantantra Party,4418,4,4422,0.32,loss
Chhattisgarh,RAIPUR,5,Ikram Saifi,Ambedkarite Party of India,1493,2,1495,0.11,loss
Chhattisgarh,RAIPUR,6,Chhabi Lal Kanwar,Bhartiya Shakti Chetna Party,812,5,817,0.06,loss
Chhattisgarh,RAIPUR,7,Tameshwar Sahu,Bhartiya Kisan Party,762,0,762,0.05,loss
Chhattisgarh,RAIPUR,8,Devki Dubey (Sandhya),Republican Party of India (A),787,1,788,0.06,loss
Chhattisgarh,RAIPUR,9,Devendra Kumar Patil,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1469,0,1469,0.11,loss
Chhattisgarh,RAIPUR,10,Banmali Chhura,Bharatiya Bahujan Party,1069,0,1069,0.08,loss
Chhattisgarh,RAIPUR,11,Dr. Yogita Bajpai,Sarvodaya Bharat Party,1208,2,1210,0.09,loss
Chhattisgarh,RAIPUR,12,Vijay Kumar Kurre,Rashtriya Jansabha Party,1742,2,1744,0.12,loss
Chhattisgarh,RAIPUR,13,Advocate Shailendra Kumar Banjare,Shakti Sena (Bharat Desh),2801,1,2802,0.2,loss
Chhattisgarh,RAIPUR,14,Santosh Yadu,Shivsena,9689,1,9690,0.69,loss
Chhattisgarh,RAIPUR,15,Tarjan Jangde,Independent,6299,2,6301,0.45,loss
Chhattisgarh,RAIPUR,16,Navin Gupta,Independent,5675,1,5676,0.41,loss
Chhattisgarh,RAIPUR,17,Pravin Jain,Independent,1936,0,1936,0.14,loss
Chhattisgarh,RAIPUR,18,Pritesh Pandey,Independent,3829,0,3829,0.27,loss
Chhattisgarh,RAIPUR,19,Manish Shrivastav,Independent,4034,1,4035,0.29,loss
Chhattisgarh,RAIPUR,20,Ramkrishna Verma,Independent,671,1,672,0.05,loss
Chhattisgarh,RAIPUR,21,Ramdyal Dahariya,Independent,467,0,467,0.03,loss
Chhattisgarh,RAIPUR,22,Rupesh Sahu,Independent,473,0,473,0.03,loss
Chhattisgarh,RAIPUR,23,Shankar Lal Vardani,Independent,887,0,887,0.06,loss
Chhattisgarh,RAIPUR,24,Sanju Kumar Yadav,Independent,1660,1,1661,0.12,loss
Chhattisgarh,RAIPUR,25,Santosh Sahu,Independent,1588,2,1590,0.11,loss
Chhattisgarh,RAIPUR,26,NOTA,None of the Above,4276,16,4292,0.31,loss
Chhattisgarh,RAJNANDGAON,1,BHOLA RAM SAHU,Indian National Congress,549410,1011,550421,42.11,loss
Chhattisgarh,RAJNANDGAON,2,RAVITA LAKRA (DHRUV),Bahujan Samaj Party,17105,40,17145,1.31,loss
Chhattisgarh,RAJNANDGAON,3,SANTOSH PANDEY,Bharatiya Janata Party,660956,1431,662387,50.68,loss
Chhattisgarh,RAJNANDGAON,4,AJAY PALI (BABA),Shivsena,8364,2,8366,0.64,loss
Chhattisgarh,RAJNANDGAON,5,DR. GOJUPAL,Republican Party of India (A),1773,0,1773,0.14,loss
Chhattisgarh,RAJNANDGAON,6,PRATIMA SANTOSH WASHNIK,Republican Paksha (Khoripa),1504,2,1506,0.12,loss
Chhattisgarh,RAJNANDGAON,7,MAHENDRA KUMAR SAHU,Forward Democratic Labour Party,1518,1,1519,0.12,loss
Chhattisgarh,RAJNANDGAON,8,VISHWANATH SINGH PORTE,Gondvana Gantantra Party,3802,15,3817,0.29,loss
Chhattisgarh,RAJNANDGAON,9,BAIDYA SHEKHU RAM VERMA (GURUJI),Ambedkarite Party of India,4293,4,4297,0.33,loss
Chhattisgarh,RAJNANDGAON,10,KAMINI SAHU,Independent,2442,3,2445,0.19,loss
Chhattisgarh,RAJNANDGAON,11,KRANTI GUPTA,Independent,3710,3,3713,0.28,loss
Chhattisgarh,RAJNANDGAON,12,RAMKHILAWAN DAHARIYA,Independent,5065,3,5068,0.39,loss
Chhattisgarh,RAJNANDGAON,13,SACHCHIDANAND KAUSHIK,Independent,12472,0,12472,0.95,loss
Chhattisgarh,RAJNANDGAON,14,SUDESH TIKAM,Independent,12659,9,12668,0.97,loss
Chhattisgarh,RAJNANDGAON,15,NOTA,None of the Above,19423,13,19436,1.49,loss
Chhattisgarh,SARGUJA,1,Khel Sai Singh,Indian National Congress,504927,911,505838,39.5,loss
Chhattisgarh,SARGUJA,2,Maya Bhagat,Bahujan Samaj Party,18489,45,18534,1.45,loss
Chhattisgarh,SARGUJA,3,Renuka Singh Saruta,Bharatiya Janata Party,662428,1283,663711,51.82,loss
Chhattisgarh,SARGUJA,4,Asha Devi Poya,Gondvana Gantantra Party,24439,24,24463,1.91,loss
Chhattisgarh,SARGUJA,5,Guman Singh Poya,Ambedkarite Party of India,5386,2,5388,0.42,loss
Chhattisgarh,SARGUJA,6,Chandradeep Singh Korcho,Rashtriya Jansabha Party,3711,1,3712,0.29,loss
Chhattisgarh,SARGUJA,7,Pawan Kumar Nag,Bahujan Mukti Party,4141,2,4143,0.32,loss
Chhattisgarh,SARGUJA,8,Mohan Singh Tekam,Shivsena,7158,3,7161,0.56,loss
Chhattisgarh,SARGUJA,9,Ramnath Cherwa,Shoshit Samaj Dal,9056,4,9060,0.71,loss
Chhattisgarh,SARGUJA,10,Palsay Uranv,Independent,9404,10,9414,0.74,loss
Chhattisgarh,SARGUJA,11,NOTA,None of the Above,29253,12,29265,2.29,loss
Dadra & Nagar Haveli,Dadra And Nagar Haveli,1,TOKIYA PRABHUBHAI,Indian National Congress,8608,0,8608,4.33,loss
Dadra & Nagar Haveli,Dadra And Nagar Haveli,2,DONGARKAR ISHWARBHAI GOPJIBHAI,Bahujan Samaj Party,948,0,948,0.48,loss
